horizon,model,metric,value,ci_low,ci_high,threshold,prevalence
14,balanced_random_forest,pr_auc,0.06976619842536143,0.06387373244366762,0.07647885218249045,0.043153526970954356,natural
14,xgboost,mcc,0.16313923745668185,0.15599332580539926,0.1700566039283465,0.04250720515847206,natural
14,xgboost,f1,0.13004532700194257,0.12455247711858039,0.13561810996032966,0.04250720515847206,natural
14,xgboost,pr_auc,0.08185223245162718,0.07472744945595698,0.08980842147323882,0.04250720515847206,natural
14,lightgbm,mcc,0.16300214231237162,0.15703770775361459,0.16846094669994816,0.03190800129575639,natural
14,lightgbm,f1,0.11409239384041064,0.11000960048300784,0.11780651452892434,0.03190800129575639,natural
14,lightgbm,pr_auc,0.08310520287765641,0.07613648555080602,0.09134040762410851,0.03190800129575639,natural
14,decision_tree,mcc,0.1352421775697797,0.12999490266565764,0.13991592259884136,0.9606890960104677,natural
14,decision_tree,f1,0.08332854763682307,0.07991263909996005,0.08605712768175194,0.9606890960104677,natural
14,decision_tree,pr_auc,0.0372362391079836,0.03468978603220272,0.03981080785052851,0.9606890960104677,natural
14,logistic_regression,mcc,-0.00032985920330851363,-0.00033947505432573277,-0.0003204018609573603,1e-6,natural
14,logistic_regression,f1,0.0,0.0,0.0,1e-6,natural
14,logistic_regression,pr_auc,0.0006023354415073786,0.0006023354415073786,0.0006023354415073786,1e-6,natural
14,most_frequent,mcc,0.0,0.0,0.0,0.5,natural
14,most_frequent,f1,0.0,0.0,0.0,0.5,natural
14,most_frequent,pr_auc,0.0006023354415073786,0.0006023354415073786,0.0006023354415073786,0.5,natural
14,soft_voting_stack,mcc,0.179823778969325,0.17223046520272117,0.18784447805841578,0.04371454479644702,natural
14,soft_voting_stack,f1,0.1523407521105142,0.14598588285800548,0.15891093328603823,0.04371454479644702,natural
14,soft_voting_stack,pr_auc,0.09885702841999794,0.09088022619445528,0.10893145375588732,0.04371454479644702,natural
30,balanced_random_forest,mcc,0.1818631749600419,0.17528585545098418,0.18716056171946,0.06404437720625315,natural
30,balanced_random_forest,f1,0.16963075532919866,0.16351668633807784,0.17465356529292161,0.06404437720625315,natural
30,balanced_random_forest,pr_auc,0.08397500819842742,0.07868187455397818,0.08813958115660281,0.06404437720625315,natural
30,xgboost,mcc,0.19525094527540732,0.18625043822083534,0.20081511145446876,0.08403835445642471,natural
30,xgboost,f1,0.1908458513963101,0.18195170504996808,0.19625288178538838,0.08403835445642471,natural
30,xgboost,pr_auc,0.10195948085186113,0.09437676708226013,0.1081670855171356,0.08403835445642471,natural
30,lightgbm,mcc,0.19608202781383935,0.18852754380178982,0.2020184762747661,0.08370044052863435,natural
30,lightgbm,f1,0.1879274730319027,0.18055710239010134,0.1938242376574909,0.08370044052863435,natural
30,lightgbm,pr_auc,0.10013105420644053,0.09201030059938371,0.10605911648469901,0.08370044052863435,natural
30,decision_tree,mcc,0.16668935789221787,0.15991689683961335,0.17187785959535887,0.9888392857142857,natural
30,decision_tree,f1,0.15100336302154552,0.14520107521800651,0.15538138765116957,0.9888392857142857,natural
30,decision_tree,pr_auc,0.05130574707948012,0.048207752430588786,0.05444811095380197,0.9888392857142857,natural
30,logistic_regression,mcc,0.0,0.0,0.0,0.999999,natural
30,logistic_regression,f1,0.002513512627238254,0.002513512627238254,0.002513512627238254,0.999999,natural
30,logistic_regression,pr_auc,0.0012583377375154146,0.0012583377375154146,0.0012583377375154146,0.999999,natural
30,most_frequent,mcc,0.0,0.0,0.0,0.5,natural
30,most_frequent,f1,0.0,0.0,0.0,0.5,natural
30,most_frequent,pr_auc,0.0012583377375154146,0.0012583377375154146,0.0012583377375154146,0.5,natural
30,soft_voting_stack,mcc,0.19961573091615054,0.1913090720932805,0.20649255397285626,0.09074107081997569,natural
30,soft_voting_stack,f1,0.1984184846615445,0.19027265109160874,0.2049263357043769,0.09074107081997569,natural
30,soft_voting_stack,pr_auc,0.11409900672145004,0.10530535412463052,0.12014477484778675,0.09074107081997569,natural
