mcc,mcc_ci_low,mcc_ci_high,mcc_fixed_prev,f1,f1_ci_low,f1_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,prevalence,n,flag_rate,starting_year,strategy,month
0.09178594562031271,-0.00027810294556878084,0.17869972934143855,0.09443680632785482,0.07792207792207792,0.0,0.16470588235294117,0.03809257217108174,0.014170838882947812,0.09966275207252447,0.0005513606459330143,107008,0.0001682117224880383,2015,static_baseline,2024-12-01
0.0820849063154879,-0.00028329028937884517,0.16463339251491674,0.0892870004495007,0.06315789473684211,0.0,0.13468137254901963,0.038681385683338405,0.018514777287095878,0.08136671429931863,0.0007205076807966229,108257,0.00015703372530182806,2015,static_baseline,2025-01-01
0.1923861395884518,0.10207057188899787,0.30760995705280814,0.15187388374540683,0.16279069767441862,0.07592563291139241,0.26510040160642573,0.07317425839676844,0.033422108725860905,0.13609098087730903,0.0006645454911595312,99316,0.0002013774215634943,2015,static_baseline,2025-02-01
0.0734562328483132,-0.0002800597508538172,0.17698836959161798,0.05729989639890925,0.05660377358490566,0.0,0.13343137254901963,0.04558227703330863,0.026420004467828457,0.088608635620907,0.0007847523520020205,110863,0.00017138269756365965,2015,static_baseline,2025-03-01
0.1460426749587014,0.036294910050224026,0.2728170127000834,0.16698353620583944,0.13114754098360656,0.032773664727657324,0.24625000000000002,0.04227602739019066,0.015742364725875306,0.1143437577081455,0.0004070568861998464,108093,0.00015727197875903156,2015,static_baseline,2025-04-01
0.10570987378311202,-0.0001687727239577424,0.24248363733410425,0.11416254601661191,0.06896551724137931,0.0,0.16673728813559321,0.029324392711147666,0.006734078790206977,0.09799013366511278,0.00045543440405068717,111981,0.0000625106044775453,2015,static_baseline,2025-05-01
-0.0002618913813665721,-0.0003238926936765162,-0.00020085514245890047,-0.00031346390231686054,0.0,0.0,0.0,0.018869593639748085,0.00868516828768206,0.041505646444306,0.0004444928246158312,110238,0.00015421179629528838,2015,static_baseline,2025-06-01
0.176544361111338,0.035819477048496154,0.2884745430907286,0.17652287424557656,0.14634146341463414,0.026307245386192755,0.23861344537815138,0.05759695407872295,0.012682265164289934,0.13057057968838962,0.00055685585264202,114931,0.00015661570855556812,2015,static_baseline,2025-07-01
0.09291141194885907,-0.00019343945537653905,0.18097640071063162,0.09891276173508877,0.07692307692307693,0.0,0.15194741966893868,0.03881508673965764,0.016845322460785274,0.09682566575475497,0.0005316969850166046,114727,0.00014817784828331606,2015,static_baseline,2025-08-01
0.052061437126957884,-0.0003583171241376882,0.14319482378010748,0.02912019690653147,0.04040404040404041,0.0,0.11124595469255666,0.023585975704250153,0.010676663948984024,0.05997007817144963,0.000720775233807028,112379,0.00016017227417933956,2015,static_baseline,2025-09-01
