prediction_point,model,metric,value,ci_low,ci_high
early_runtime,gradient_boosting,mcc,0.8638484914980459,0.8615038453478799,0.8661949032665691
early_runtime,gradient_boosting,pr_auc,0.9341443309370543,0.9326728697804147,0.9355772214320663
early_runtime,lightgbm,cv_mcc_mean,0.8458186255821235,0.5649075544656796,0.9503375021690211
early_runtime,lightgbm,f1,0.9501035196687371,0.9488818434945572,0.9513783727599426
early_runtime,lightgbm,mcc,0.9368449437374397,0.9353039481601982,0.9384008412821933
early_runtime,lightgbm,pr_auc,0.984064801011615,0.9830687050117739,0.9850158575085843
early_runtime,logistic_regression,cv_mcc_mean,0.7834383532743427,0.5025128490712222,0.899162589905602
early_runtime,logistic_regression,f1,0.6663895331028749,0.6629729688097604,0.6700695293770792
early_runtime,logistic_regression,mcc,0.64592709025696,0.642624697007807,0.6493738374213208
early_runtime,logistic_regression,pr_auc,0.7704210089525783,0.7677305458892365,0.7732847874022609
early_runtime,most_frequent,cv_mcc_mean,0.0,0.0,0.0
early_runtime,most_frequent,f1,0.358573827232335,0.35637674031759964,0.36059658588965754
early_runtime,most_frequent,mcc,0.0,0.0,0.0
early_runtime,most_frequent,pr_auc,0.2184526073613968,0.21682386046803626,0.21995598081176998
early_runtime,random_forest,cv_mcc_mean,0.8459873224060153,0.5653869868891277,0.948198942195284
early_runtime,random_forest,f1,0.9585651802582883,0.9574918242389532,0.9596881574534972
early_runtime,random_forest,mcc,0.9476146351206114,0.9462424352319195,0.9490225408250723
early_runtime,random_forest,pr_auc,0.9887244729359701,0.9882164122473622,0.9892525366147167
early_runtime,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],f1,0.9572341471407505,0.9560799076610023,0.9584192107669106
early_runtime,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],mcc,0.9459044441351439,0.9445087250386763,0.9473616666877044
early_runtime,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],pr_auc,0.9887383277734221,0.9882460947279067,0.9892386335385437
early_runtime,xgboost,cv_mcc_mean,0.8454776582789136,0.562647373040853,0.9508400681233623
early_runtime,xgboost,f1,0.9487002570161972,0.9474063830215859,0.94995805705094
early_runtime,xgboost,mcc,0.9350479058226581,0.9334847610911506,0.9366204157343248
early_runtime,xgboost,pr_auc,0.9847596673103096,0.9841712380030128,0.9853488184669236
